mese,regione,numero_medio_vaccini
Gennaio,Abruzzo,16
Gennaio,Basilicata,17
Gennaio,Calabria,12
Gennaio,Campania,104
Gennaio,Emilia-Romagna,40
Gennaio,Friuli-Venezia Giulia,25
Gennaio,Lazio,33
Gennaio,Liguria,11
Gennaio,Lombardia,85
Gennaio,Marche,23
Gennaio,Molise,39
Gennaio,Piemonte,26
Gennaio,Provincia Autonoma Bolzano / Bozen,23
Gennaio,Provincia Autonoma Trento,36
Gennaio,Puglia,5
Gennaio,Sardegna,14
Gennaio,Sicilia,28
Gennaio,Toscana,18
Gennaio,Umbria,13
Gennaio,Valle d'Aosta / Vallée d'Aoste,26
Gennaio,Veneto,26
Febbraio,Abruzzo,33
Febbraio,Basilicata,32
Febbraio,Calabria,19
Febbraio,Campania,142
Febbraio,Emilia-Romagna,43
Febbraio,Friuli-Venezia Giulia,35
Febbraio,Lazio,46
Febbraio,Liguria,14
Febbraio,Lombardia,115
Febbraio,Marche,34
Febbraio,Molise,55
Febbraio,Piemonte,34
Febbraio,Provincia Autonoma Bolzano / Bozen,30
Febbraio,Provincia Autonoma Trento,52
Febbraio,Puglia,8
Febbraio,Sardegna,17
Febbraio,Sicilia,32
Febbraio,Toscana,30
Febbraio,Umbria,15
Febbraio,Valle d'Aosta / Vallée d'Aoste,36
Febbraio,Veneto,27
Marzo,Abruzzo,79
Marzo,Basilicata,54
Marzo,Calabria,50
Marzo,Campania,275
Marzo,Emilia-Romagna,104
Marzo,Friuli-Venezia Giulia,63
Marzo,Lazio,111
Marzo,Liguria,36
Marzo,Lombardia,260
Marzo,Marche,91
Marzo,Molise,176
Marzo,Piemonte,62
Marzo,Provincia Autonoma Bolzano / Bozen,37
Marzo,Provincia Autonoma Trento,109
Marzo,Puglia,18
Marzo,Sardegna,54
Marzo,Sicilia,79
Marzo,Toscana,57
Marzo,Umbria,58
Marzo,Valle d'Aosta / Vallée d'Aoste,48
Marzo,Veneto,88
Aprile,Abruzzo,124
Aprile,Basilicata,94
Aprile,Calabria,84
Aprile,Campania,531
Aprile,Emilia-Romagna,161
Aprile,Friuli-Venezia Giulia,98
Aprile,Lazio,157
Aprile,Liguria,68
Aprile,Lombardia,492
Aprile,Marche,159
Aprile,Molise,218
Aprile,Piemonte,112
Aprile,Provincia Autonoma Bolzano / Bozen,68
Aprile,Provincia Autonoma Trento,171
Aprile,Puglia,36
Aprile,Sardegna,96
Aprile,Sicilia,113
Aprile,Toscana,96
Aprile,Umbria,97
Aprile,Valle d'Aosta / Vallée d'Aoste,105
Aprile,Veneto,121
Maggio,Abruzzo,193
Maggio,Basilicata,147
Maggio,Calabria,149
Maggio,Campania,972
Maggio,Emilia-Romagna,206
Maggio,Friuli-Venezia Giulia,162
Maggio,Lazio,255
Maggio,Liguria,69
Maggio,Lombardia,726
Maggio,Marche,194
Maggio,Molise,291
Maggio,Piemonte,143
Maggio,Provincia Autonoma Bolzano / Bozen,103
Maggio,Provincia Autonoma Trento,239
Maggio,Puglia,54
Maggio,Sardegna,135
Maggio,Sicilia,200
Maggio,Toscana,134
Maggio,Umbria,129
Maggio,Valle d'Aosta / Vallée d'Aoste,132
Maggio,Veneto,175
