modello,k,regione,percentuale_vaccinati,cluster
K-MEANS-BISECTING,5,Abruzzo,0.624055441095004,4
K-MEANS-BISECTING,5,Basilicata,0.605194866859394,4
K-MEANS-BISECTING,5,Calabria,0.571240350040048,3
K-MEANS-BISECTING,5,Campania,0.595448504065049,0
K-MEANS-BISECTING,5,Emilia-Romagna,0.605292619651701,4
K-MEANS-BISECTING,5,Friuli-Venezia Giulia,0.622776335074865,4
K-MEANS-BISECTING,5,Lazio,0.596208289895322,0
K-MEANS-BISECTING,5,Liguria,0.638774543732469,1
K-MEANS-BISECTING,5,Lombardia,0.612220517484112,4
K-MEANS-BISECTING,5,Marche,0.609465394436948,4
K-MEANS-BISECTING,5,Molise,0.651148047358429,1
K-MEANS-BISECTING,5,Piemonte,0.597769358398019,0
K-MEANS-BISECTING,5,Provincia Autonoma Bolzano / Bozen,0.606115623506928,4
K-MEANS-BISECTING,5,Provincia Autonoma Trento,0.553774701924754,2
K-MEANS-BISECTING,5,Puglia,0.610253656099381,4
K-MEANS-BISECTING,5,Sardegna,0.572854260194904,3
K-MEANS-BISECTING,5,Sicilia,0.538780171192156,2
K-MEANS-BISECTING,5,Toscana,0.590635037767836,0
K-MEANS-BISECTING,5,Umbria,0.617285520564431,4
K-MEANS-BISECTING,5,Valle d'Aosta / Vallée d'Aoste,0.605827515234674,4
K-MEANS-BISECTING,5,Veneto,0.588686175837252,0
K-MEANS-BISECTING,4,Abruzzo,0.624055441095004,0
K-MEANS-BISECTING,4,Basilicata,0.605194866859394,0
K-MEANS-BISECTING,4,Calabria,0.571240350040048,1
K-MEANS-BISECTING,4,Campania,0.595448504065049,1
K-MEANS-BISECTING,4,Emilia-Romagna,0.605292619651701,0
K-MEANS-BISECTING,4,Friuli-Venezia Giulia,0.622776335074865,0
K-MEANS-BISECTING,4,Lazio,0.596208289895322,1
K-MEANS-BISECTING,4,Liguria,0.638774543732469,3
K-MEANS-BISECTING,4,Lombardia,0.612220517484112,0
K-MEANS-BISECTING,4,Marche,0.609465394436948,0
K-MEANS-BISECTING,4,Molise,0.651148047358429,3
K-MEANS-BISECTING,4,Piemonte,0.597769358398019,1
K-MEANS-BISECTING,4,Provincia Autonoma Bolzano / Bozen,0.606115623506928,0
K-MEANS-BISECTING,4,Provincia Autonoma Trento,0.553774701924754,2
K-MEANS-BISECTING,4,Puglia,0.610253656099381,0
K-MEANS-BISECTING,4,Sardegna,0.572854260194904,1
K-MEANS-BISECTING,4,Sicilia,0.538780171192156,2
K-MEANS-BISECTING,4,Toscana,0.590635037767836,1
K-MEANS-BISECTING,4,Umbria,0.617285520564431,0
K-MEANS-BISECTING,4,Valle d'Aosta / Vallée d'Aoste,0.605827515234674,0
K-MEANS-BISECTING,4,Veneto,0.588686175837252,1
K-MEANS-BISECTING,3,Abruzzo,0.624055441095004,2
K-MEANS-BISECTING,3,Basilicata,0.605194866859394,0
K-MEANS-BISECTING,3,Calabria,0.571240350040048,1
K-MEANS-BISECTING,3,Campania,0.595448504065049,0
K-MEANS-BISECTING,3,Emilia-Romagna,0.605292619651701,0
K-MEANS-BISECTING,3,Friuli-Venezia Giulia,0.622776335074865,2
K-MEANS-BISECTING,3,Lazio,0.596208289895322,0
K-MEANS-BISECTING,3,Liguria,0.638774543732469,2
K-MEANS-BISECTING,3,Lombardia,0.612220517484112,0
K-MEANS-BISECTING,3,Marche,0.609465394436948,0
K-MEANS-BISECTING,3,Molise,0.651148047358429,2
K-MEANS-BISECTING,3,Piemonte,0.597769358398019,0
K-MEANS-BISECTING,3,Provincia Autonoma Bolzano / Bozen,0.606115623506928,0
K-MEANS-BISECTING,3,Provincia Autonoma Trento,0.553774701924754,1
K-MEANS-BISECTING,3,Puglia,0.610253656099381,0
K-MEANS-BISECTING,3,Sardegna,0.572854260194904,1
K-MEANS-BISECTING,3,Sicilia,0.538780171192156,1
K-MEANS-BISECTING,3,Toscana,0.590635037767836,0
K-MEANS-BISECTING,3,Umbria,0.617285520564431,2
K-MEANS-BISECTING,3,Valle d'Aosta / Vallée d'Aoste,0.605827515234674,0
K-MEANS-BISECTING,3,Veneto,0.588686175837252,0
K-MEANS-BISECTING,2,Abruzzo,0.624055441095004,1
K-MEANS-BISECTING,2,Basilicata,0.605194866859394,1
K-MEANS-BISECTING,2,Calabria,0.571240350040048,0
K-MEANS-BISECTING,2,Campania,0.595448504065049,0
K-MEANS-BISECTING,2,Emilia-Romagna,0.605292619651701,1
K-MEANS-BISECTING,2,Friuli-Venezia Giulia,0.622776335074865,1
K-MEANS-BISECTING,2,Lazio,0.596208289895322,0
K-MEANS-BISECTING,2,Liguria,0.638774543732469,1
K-MEANS-BISECTING,2,Lombardia,0.612220517484112,1
K-MEANS-BISECTING,2,Marche,0.609465394436948,1
K-MEANS-BISECTING,2,Molise,0.651148047358429,1
K-MEANS-BISECTING,2,Piemonte,0.597769358398019,0
K-MEANS-BISECTING,2,Provincia Autonoma Bolzano / Bozen,0.606115623506928,1
K-MEANS-BISECTING,2,Provincia Autonoma Trento,0.553774701924754,0
K-MEANS-BISECTING,2,Puglia,0.610253656099381,1
K-MEANS-BISECTING,2,Sardegna,0.572854260194904,0
K-MEANS-BISECTING,2,Sicilia,0.538780171192156,0
K-MEANS-BISECTING,2,Toscana,0.590635037767836,0
K-MEANS-BISECTING,2,Umbria,0.617285520564431,1
K-MEANS-BISECTING,2,Valle d'Aosta / Vallée d'Aoste,0.605827515234674,1
K-MEANS-BISECTING,2,Veneto,0.588686175837252,0
K-MEANS,5,Abruzzo,0.624055441095004,0
K-MEANS,5,Basilicata,0.605194866859394,0
K-MEANS,5,Calabria,0.571240350040048,2
K-MEANS,5,Campania,0.595448504065049,4
K-MEANS,5,Emilia-Romagna,0.605292619651701,0
K-MEANS,5,Friuli-Venezia Giulia,0.622776335074865,0
K-MEANS,5,Lazio,0.596208289895322,4
K-MEANS,5,Liguria,0.638774543732469,3
K-MEANS,5,Lombardia,0.612220517484112,0
K-MEANS,5,Marche,0.609465394436948,0
K-MEANS,5,Molise,0.651148047358429,3
K-MEANS,5,Piemonte,0.597769358398019,4
K-MEANS,5,Provincia Autonoma Bolzano / Bozen,0.606115623506928,0
K-MEANS,5,Provincia Autonoma Trento,0.553774701924754,1
K-MEANS,5,Puglia,0.610253656099381,0
K-MEANS,5,Sardegna,0.572854260194904,2
K-MEANS,5,Sicilia,0.538780171192156,1
K-MEANS,5,Toscana,0.590635037767836,4
K-MEANS,5,Umbria,0.617285520564431,0
K-MEANS,5,Valle d'Aosta / Vallée d'Aoste,0.605827515234674,0
